weekDate,quantity_weekly
2018-05-28,5
2018-06-04,13
2018-06-11,14
2018-06-18,13
2018-06-25,11
2018-07-02,10
2018-07-09,10
2018-07-16,3
2018-07-23,7
2018-07-30,16
2018-08-06,11
2018-08-13,11
2018-08-20,14
2018-08-27,14
2018-09-03,24
2018-09-10,23
2018-09-17,17
2018-09-24,21
2018-10-01,19
2018-10-08,17
2018-10-15,12
2018-10-22,22
2018-10-29,17
2018-11-05,24
2018-11-12,19
2018-11-19,42
2018-11-26,19
2018-12-03,30
2018-12-10,31
2018-12-17,22
2018-12-24,13
2018-12-31,20
2019-01-07,20
2019-01-14,24
2019-01-21,28
2019-01-28,17
2019-02-04,28
2019-02-11,19
2019-02-18,19
2019-02-25,25
2019-03-04,25
2019-03-11,29
2019-03-18,21
2019-03-25,23
2019-04-01,15
2019-04-08,17
2019-04-15,26
2019-04-22,15
2019-04-29,16
2019-05-06,23
2019-05-13,12
2019-05-20,18
2019-05-27,12
2019-06-03,14
2019-06-10,17
2019-06-17,22
2019-06-24,14
2019-07-01,11
2019-07-08,13
2019-07-15,13
2019-07-22,14
2019-07-29,15
2019-08-05,18
2019-08-12,12
2019-08-19,13
2019-08-26,14
2019-09-02,13
2019-09-09,19
2019-09-16,29
2019-09-23,22
2019-09-30,19
2019-10-07,19
2019-10-14,15
2019-10-21,19
2019-10-28,21
2019-11-04,18
2019-11-11,23
2019-11-18,14
2019-11-25,22
2019-12-02,30
2019-12-09,29
2019-12-16,20
2019-12-23,12
2019-12-30,5
2020-01-06,26
2020-01-13,19
2020-01-20,30
2020-01-27,19
2020-02-03,24
2020-02-10,26
2020-02-17,19
2020-02-24,22
2020-03-02,30
2020-03-09,33
2020-03-16,12
2020-03-23,11
2020-03-30,9
2020-04-06,11
2020-04-13,8
2020-04-20,12
2020-04-27,9
2020-05-04,6
2020-05-11,8
2020-05-18,9
2020-05-25,10
2020-06-01,17
2020-06-08,10
2020-06-15,12
2020-06-22,16
2020-06-29,10
2020-07-06,11
2020-07-13,12
2020-07-20,8
2020-07-27,7
2020-08-03,11
2020-08-10,7
2020-08-17,14
2020-08-24,16
2020-08-31,13
2020-09-07,21
2020-09-14,14
2020-09-21,20
2020-09-28,22
2020-10-05,10
2020-10-12,19
2020-10-19,17
2020-10-26,28
2020-11-02,4
