weekDate,quantity_weekly
2018-05-28,4
2018-06-04,7
2018-06-11,3
2018-06-18,7
2018-06-25,1
2018-07-02,2
2018-07-09,3
2018-07-16,2
2018-07-23,2
2018-07-30,3
2018-08-06,2
2018-08-13,2
2018-08-20,4
2018-08-27,6
2018-09-03,6
2018-09-10,7
2018-09-17,7
2018-09-24,5
2018-10-01,12
2018-10-08,13
2018-10-15,7
2018-10-22,11
2018-10-29,13
2018-11-05,11
2018-11-12,6
2018-11-19,12
2018-11-26,11
2018-12-03,10
2018-12-10,6
2018-12-17,10
2018-12-24,6
2018-12-31,4
2019-01-07,8
2019-01-14,12
2019-01-21,8
2019-01-28,6
2019-02-04,16
2019-02-11,19
2019-02-18,20
2019-02-25,14
2019-03-04,10
2019-03-11,5
2019-03-18,8
2019-03-25,6
2019-04-01,4
2019-04-08,10
2019-04-15,2
2019-04-22,5
2019-04-29,7
2019-05-06,4
2019-05-13,5
2019-05-20,1
2019-05-27,4
2019-06-03,3
2019-06-10,4
2019-06-17,4
2019-07-01,1
2019-07-08,4
2019-07-15,5
2019-07-22,3
2019-07-29,5
2019-08-05,2
2019-08-19,4
2019-08-26,4
2019-09-02,11
2019-09-09,3
2019-09-16,3
2019-09-23,7
2019-09-30,12
2019-10-07,7
2019-10-14,6
2019-10-21,15
2019-10-28,7
2019-11-04,21
2019-11-11,22
2019-11-18,12
2019-11-25,8
2019-12-02,9
2019-12-09,14
2019-12-16,9
2019-12-23,14
2019-12-30,9
2020-01-06,13
2020-01-13,11
2020-01-20,9
2020-01-27,14
2020-02-03,10
2020-02-10,6
2020-02-17,12
2020-02-24,7
2020-03-02,9
2020-03-09,10
2020-03-16,14
2020-03-23,6
2020-03-30,11
2020-04-06,7
2020-04-13,8
2020-04-20,6
2020-04-27,10
2020-05-04,4
2020-05-11,4
2020-05-18,3
2020-05-25,5
2020-06-01,6
2020-06-08,5
2020-06-15,9
2020-06-22,6
2020-06-29,3
2020-07-06,3
2020-07-13,2
2020-07-20,3
2020-07-27,5
2020-08-03,5
2020-08-10,2
2020-08-17,6
2020-08-24,1
2020-08-31,6
2020-09-07,8
2020-09-14,9
2020-09-21,9
2020-09-28,5
2020-10-05,8
2020-10-12,16
2020-10-19,3
2020-11-02,2
