weekDate,quantity_weekly
2018-05-28,5
2018-06-04,12
2018-06-11,19
2018-06-18,9
2018-06-25,10
2018-07-02,10
2018-07-09,9
2018-07-16,9
2018-07-23,6
2018-07-30,8
2018-08-06,5
2018-08-13,10
2018-08-20,10
2018-08-27,14
2018-09-03,19
2018-09-10,20
2018-09-17,15
2018-09-24,21
2018-10-01,22
2018-10-08,15
2018-10-15,16
2018-10-22,42
2018-10-29,39
2018-11-05,23
2018-11-12,26
2018-11-19,25
2018-11-26,20
2018-12-03,20
2018-12-10,18
2018-12-17,29
2018-12-24,27
2018-12-31,26
2019-01-07,16
2019-01-14,20
2019-01-21,19
2019-01-28,27
2019-02-04,33
2019-02-11,27
2019-02-18,36
2019-02-25,14
2019-03-04,18
2019-03-11,17
2019-03-18,9
2019-03-25,22
2019-04-01,13
2019-04-08,18
2019-04-15,7
2019-04-22,4
2019-04-29,14
2019-05-06,15
2019-05-13,11
2019-05-20,11
2019-05-27,12
2019-06-03,13
2019-06-10,10
2019-06-17,4
2019-06-24,4
2019-07-01,8
2019-07-08,5
2019-07-15,11
2019-07-22,3
2019-07-29,7
2019-08-05,10
2019-08-12,9
2019-08-19,10
2019-08-26,4
2019-09-02,17
2019-09-09,19
2019-09-16,11
2019-09-23,14
2019-09-30,27
2019-10-07,17
2019-10-14,24
2019-10-21,41
2019-10-28,30
2019-11-04,29
2019-11-11,42
2019-11-18,21
2019-11-25,18
2019-12-02,16
2019-12-09,32
2019-12-16,24
2019-12-23,24
2019-12-30,21
2020-01-06,26
2020-01-13,25
2020-01-20,27
2020-01-27,20
2020-02-03,26
2020-02-10,22
2020-02-17,19
2020-02-24,18
2020-03-02,18
2020-03-09,35
2020-03-16,23
2020-03-23,17
2020-03-30,20
2020-04-06,10
2020-04-13,16
2020-04-20,13
2020-04-27,21
2020-05-04,17
2020-05-11,19
2020-05-18,18
2020-05-25,8
2020-06-01,16
2020-06-08,20
2020-06-15,13
2020-06-22,11
2020-06-29,15
2020-07-06,8
2020-07-13,10
2020-07-20,5
2020-07-27,13
2020-08-03,5
2020-08-10,1
2020-08-17,9
2020-08-24,13
2020-08-31,13
2020-09-07,17
2020-09-14,17
2020-09-21,11
2020-09-28,14
2020-10-05,17
