weekDate,quantity_weekly
2018-05-28,7
2018-06-04,9
2018-06-11,16
2018-06-18,13
2018-06-25,15
2018-07-02,13
2018-07-09,14
2018-07-16,7
2018-07-23,4
2018-07-30,3
2018-08-06,8
2018-08-13,6
2018-08-20,9
2018-08-27,16
2018-09-03,15
2018-09-10,17
2018-09-17,17
2018-09-24,10
2018-10-01,15
2018-10-08,17
2018-10-15,11
2018-10-22,10
2018-10-29,9
2018-11-05,17
2018-11-12,11
2018-11-19,13
2018-11-26,13
2018-12-03,13
2018-12-10,21
2018-12-17,14
2018-12-24,16
2018-12-31,17
2019-01-07,20
2019-01-14,18
2019-01-21,14
2019-01-28,11
2019-02-04,13
2019-02-11,13
2019-02-18,10
2019-02-25,15
2019-03-04,14
2019-03-11,11
2019-03-18,20
2019-03-25,13
2019-04-01,9
2019-04-08,19
2019-04-15,12
2019-04-22,6
2019-04-29,17
2019-05-06,19
2019-05-13,17
2019-05-20,16
2019-05-27,6
2019-06-03,13
2019-06-10,10
2019-06-17,10
2019-06-24,6
2019-07-01,7
2019-07-08,9
2019-07-15,4
2019-07-22,3
2019-07-29,8
2019-08-05,9
2019-08-12,6
2019-08-19,7
2019-08-26,11
2019-09-02,16
2019-09-09,20
2019-09-16,4
2019-09-23,10
2019-09-30,12
2019-10-07,8
2019-10-14,13
2019-10-21,3
2019-10-28,16
2019-11-04,8
2019-11-11,7
2019-11-18,4
2019-11-25,17
2019-12-02,11
2019-12-09,19
2019-12-16,19
2019-12-23,12
2019-12-30,15
2020-01-06,21
2020-01-13,14
2020-01-20,20
2020-01-27,10
2020-02-03,5
2020-02-10,7
2020-02-17,9
2020-02-24,8
2020-03-02,10
2020-03-09,27
2020-03-16,10
2020-03-23,14
2020-03-30,16
2020-04-06,11
2020-04-13,6
2020-04-20,8
2020-04-27,16
2020-05-04,16
2020-05-11,9
2020-05-18,7
2020-05-25,6
2020-06-01,10
2020-06-08,9
2020-06-15,5
2020-06-22,4
2020-06-29,8
2020-07-06,9
2020-07-13,7
2020-07-20,3
2020-07-27,6
2020-08-03,2
2020-08-10,1
2020-08-17,6
2020-08-24,12
2020-08-31,16
2020-09-07,16
2020-09-14,3
2020-09-21,14
2020-09-28,10
2020-10-05,7
2020-10-12,6
2020-10-19,6
2020-10-26,16
