weekDate,quantity_weekly
2018-05-28,4
2018-06-04,6
2018-06-11,14
2018-06-18,10
2018-06-25,13
2018-07-02,13
2018-07-09,14
2018-07-16,9
2018-07-23,3
2018-07-30,7
2018-08-06,11
2018-08-13,7
2018-08-20,5
2018-08-27,9
2018-09-03,11
2018-09-10,15
2018-09-17,17
2018-09-24,9
2018-10-01,16
2018-10-08,14
2018-10-15,8
2018-10-22,15
2018-10-29,11
2018-11-05,14
2018-11-12,18
2018-11-19,16
2018-11-26,9
2018-12-03,29
2018-12-10,19
2018-12-17,14
2018-12-24,7
2018-12-31,12
2019-01-07,20
2019-01-14,20
2019-01-21,18
2019-01-28,15
2019-02-04,13
2019-02-11,22
2019-02-18,7
2019-02-25,17
2019-03-04,20
2019-03-11,12
2019-03-18,14
2019-03-25,13
2019-04-01,13
2019-04-08,9
2019-04-15,11
2019-04-22,15
2019-04-29,14
2019-05-06,10
2019-05-13,16
2019-05-20,10
2019-05-27,8
2019-06-03,9
2019-06-10,14
2019-06-17,15
2019-06-24,6
2019-07-01,16
2019-07-08,9
2019-07-15,6
2019-07-22,8
2019-07-29,10
2019-08-05,11
2019-08-12,7
2019-08-19,7
2019-08-26,9
2019-09-02,13
2019-09-09,11
2019-09-16,18
2019-09-23,10
2019-09-30,12
2019-10-07,15
2019-10-14,21
2019-10-21,15
2019-10-28,15
2019-11-04,15
2019-11-11,12
2019-11-18,13
2019-11-25,9
2019-12-02,9
2019-12-09,18
2019-12-16,16
2019-12-23,9
2019-12-30,14
2020-01-06,22
2020-01-13,23
2020-01-20,36
2020-01-27,20
2020-02-03,25
2020-02-10,15
2020-02-17,23
2020-02-24,22
2020-03-02,19
2020-03-09,30
2020-03-16,21
2020-03-23,13
2020-03-30,18
2020-04-06,13
2020-04-13,11
2020-04-20,11
2020-04-27,14
2020-05-04,11
2020-05-11,5
2020-05-18,7
2020-05-25,5
2020-06-01,15
2020-06-08,11
2020-06-15,12
2020-06-22,16
2020-06-29,16
2020-07-06,10
2020-07-13,12
2020-07-20,11
2020-07-27,7
2020-08-03,7
2020-08-10,9
2020-08-17,15
2020-08-24,19
2020-08-31,15
2020-09-07,15
2020-09-14,11
2020-09-21,11
2020-09-28,19
2020-10-05,24
2020-10-12,24
2020-10-19,17
2020-10-26,23
2020-11-02,1
