weekDate,quantity_weekly
2018-05-28,3
2018-06-04,10
2018-06-11,14
2018-06-18,6
2018-06-25,3
2018-07-02,7
2018-07-09,6
2018-07-16,7
2018-07-23,2
2018-07-30,7
2018-08-06,4
2018-08-13,9
2018-08-20,10
2018-08-27,22
2018-09-03,27
2018-09-10,22
2018-09-17,10
2018-09-24,14
2018-10-01,12
2018-10-08,8
2018-10-15,15
2018-10-22,11
2018-10-29,11
2018-11-05,7
2018-11-12,15
2018-11-19,20
2018-11-26,20
2018-12-03,18
2018-12-10,13
2018-12-17,20
2018-12-24,14
2018-12-31,9
2019-01-07,10
2019-01-14,9
2019-01-21,10
2019-01-28,13
2019-02-04,26
2019-02-11,49
2019-02-18,4
2019-02-25,6
2019-03-04,11
2019-03-11,10
2019-03-18,16
2019-03-25,5
2019-04-01,7
2019-04-08,13
2019-04-15,13
2019-04-22,4
2019-04-29,11
2019-05-06,7
2019-05-13,14
2019-05-20,9
2019-05-27,12
2019-06-03,16
2019-06-10,3
2019-06-17,6
2019-06-24,1
2019-07-01,1
2019-07-08,4
2019-07-15,5
2019-07-22,5
2019-07-29,8
2019-08-05,4
2019-08-12,9
2019-08-19,7
2019-08-26,25
2019-09-02,24
2019-09-09,17
2019-09-16,15
2019-09-23,11
2019-09-30,5
2019-10-07,20
2019-10-14,11
2019-10-21,9
2019-10-28,6
2019-11-04,15
2019-11-11,8
2019-11-18,9
2019-11-25,12
2019-12-02,21
2019-12-09,16
2019-12-16,22
2019-12-23,16
2019-12-30,24
2020-01-06,12
2020-01-13,9
2020-01-20,27
2020-01-27,13
2020-02-03,10
2020-02-10,16
2020-02-17,21
2020-02-24,35
2020-03-02,9
2020-03-09,9
2020-03-16,4
2020-03-23,9
2020-03-30,6
2020-04-06,10
2020-04-13,13
2020-04-20,5
2020-04-27,5
2020-05-04,9
2020-05-11,10
2020-05-18,5
2020-05-25,7
2020-06-01,6
2020-06-08,16
2020-06-15,6
2020-06-22,1
2020-06-29,7
2020-07-06,3
2020-07-13,1
2020-07-20,5
2020-07-27,2
2020-08-03,2
2020-08-10,8
2020-08-17,3
2020-08-24,8
2020-08-31,10
2020-09-07,7
2020-09-14,3
2020-09-21,8
2020-09-28,13
2020-10-05,90
2020-10-12,78
2020-10-19,10
2020-10-26,21
2020-11-02,3
