weekDate,quantity_weekly
2018-05-28,13
2018-06-04,14
2018-06-11,9
2018-06-18,15
2018-06-25,9
2018-07-02,7
2018-07-09,10
2018-07-16,7
2018-07-23,5
2018-07-30,5
2018-08-06,14
2018-08-13,8
2018-08-20,11
2018-08-27,30
2018-09-03,39
2018-09-10,42
2018-09-17,43
2018-09-24,21
2018-10-01,24
2018-10-08,21
2018-10-15,14
2018-10-22,25
2018-10-29,24
2018-11-05,22
2018-11-12,26
2018-11-19,44
2018-11-26,25
2018-12-03,34
2018-12-10,26
2018-12-17,27
2018-12-24,24
2018-12-31,23
2019-01-07,25
2019-01-14,21
2019-01-21,23
2019-01-28,27
2019-02-04,54
2019-02-11,88
2019-02-18,26
2019-02-25,26
2019-03-04,25
2019-03-11,18
2019-03-18,13
2019-03-25,22
2019-04-01,26
2019-04-08,23
2019-04-15,9
2019-04-22,15
2019-04-29,16
2019-05-06,18
2019-05-13,24
2019-05-20,16
2019-05-27,16
2019-06-03,17
2019-06-10,12
2019-06-17,9
2019-06-24,7
2019-07-01,7
2019-07-08,17
2019-07-15,13
2019-07-22,14
2019-07-29,16
2019-08-05,17
2019-08-12,13
2019-08-19,21
2019-08-26,29
2019-09-02,39
2019-09-09,45
2019-09-16,15
2019-09-23,22
2019-09-30,15
2019-10-07,14
2019-10-14,24
2019-10-21,24
2019-10-28,19
2019-11-04,28
2019-11-11,39
2019-11-18,24
2019-11-25,28
2019-12-02,20
2019-12-09,38
2019-12-16,38
2019-12-23,42
2019-12-30,41
2020-01-06,26
2020-01-13,32
2020-01-20,48
2020-01-27,34
2020-02-03,26
2020-02-10,49
2020-02-17,45
2020-02-24,39
2020-03-02,25
2020-03-09,27
2020-03-16,39
2020-03-23,40
2020-03-30,30
2020-04-06,21
2020-04-13,24
2020-04-20,18
2020-04-27,16
2020-05-04,20
2020-05-11,19
2020-05-18,26
2020-05-25,18
2020-06-01,13
2020-06-08,28
2020-06-15,22
2020-06-22,24
2020-06-29,25
2020-07-06,14
2020-07-13,18
2020-07-20,13
2020-07-27,9
2020-08-03,15
2020-08-10,8
2020-08-17,20
2020-08-24,20
2020-08-31,22
2020-09-07,17
2020-09-14,21
2020-09-21,22
2020-09-28,30
2020-10-05,107
2020-10-12,96
2020-10-19,21
2020-10-26,43
2020-11-02,6
